domain,countryCode,LON,PageViewsEnglish,birthyear,birthstate,occupation,en_curid,numlangs,birthcity,AverageViews,TotalPageViews,countryName,HPI,countryCode3,PageViewsNonEnglish,name,L_star,gender,industry,StdDevPageViews,continentName,LAT,wikiquote name
INSTITUTIONS,ET,38.9,1097876,1955,,POLITICIAN,393817,52,Adwa,30226.94231,1571801,ETHIOPIA,19.22697267,ETH,473925,Meles Zenawi,4.779671773,Male,GOVERNMENT,38685.44081,Africa,14.166667,Meles Zenawi
INSTITUTIONS,PK,67.01,2588073,1955,,POLITICIAN,993655,56,Karachi,57560.53571,3223390,PAKISTAN,20.41418634,PAK,635317,Asif Ali Zardari,2.992917051,Male,GOVERNMENT,21878.85782,Asia,24.86,Asif Ali Zardari
HUMANITIES,CN,119.75,562738,1955,,WRITER,1052811,57,Gaomi,35557.92982,2026802,China,20.45788578,CHN,1464064,Mo Yan,10.82834186,Male,LANGUAGE,111755.3658,Asia,36.383333,Mo Yan
PUBLIC FIGURE,CN,125.2,1836634,1955,,SOCIAL ACTIVIST,11786379,71,Changchun,66545.35211,4724720,China,21.79351019,CHN,2888086,Liu Xiaobo,8.97807678,Male,ACTIVISM,139583.3874,Asia,43.9,Liu Xiaobo
ARTS,JP,136.9,2456260,1955,,COMIC ARTIST,3092,31,Nagoya,298591.871,9256348,JAPAN,23.43309315,JPN,6800088,Akira Toriyama,6.675806044,Male,DESIGN,40566.1368,Asia,35.183333,Akira Toriyama
ARTS,US,,7685700,1955,#N/A,ACTOR,17130,29,Saint Thomas,302374.5172,8768861,United States,19.86830615,USA,1083161,Kelsey Grammer,1.940076951,Male,FILM AND THEATRE,58798.26562,North America,,Kelsey Grammer
ARTS,US,-122.681944,3868967,1954,OR,COMIC ARTIST,18894,52,Portland,141499.6346,7357981,UNITED STATES,23.70875431,USA,3489014,Matt Groening,5.603157458,Male,DESIGN,20650.0368,North America,45.52,Matt Groening
SCIENCE & TECHNOLOGY,US,-118.25,453499,1954,CA,COMPUTER SCIENTIST,17519,29,Los Angeles,26743.96552,775575,UNITED STATES,21.09572665,USA,322076,Larry Wall,6.077421381,Male,COMPUTER SCIENCE,1657.854042,North America,34.05,Larry Wall
ARTS,US,-96.796667,6683218,1954,TX,MUSICIAN,166911,35,Dallas,295565.6571,10344798,UNITED STATES,23.34327051,USA,3661580,Stevie Ray Vaughan,4.435346354,Male,MUSIC,23395.75199,North America,32.775833,Stevie Ray Vaughan
ARTS,US,-94.374167,1282944,1954,MO,MUSICIAN,289997,28,Lee's Summit,96374.64286,2698490,UNITED STATES,22.71476258,USA,1415546,Pat Metheny,6.379068156,Male,MUSIC,5089.422219,North America,38.9225,Pat Metheny
ARTS,US,-93.286111,3536186,1954,MO,ACTOR,182997,32,Springfield,158538.8438,5073243,UNITED STATES,21.61688657,USA,1537057,Kathleen Turner,3.600690695,Female,FILM AND THEATRE,20091.91509,North America,37.195,Kathleen Turner
PUBLIC FIGURE,US,-89.588333,15665722,1954,MS,PRESENTER,20395872,58,Kosciusko,373889.8793,21685613,UNITED STATES,23.29346125,USA,6019891,Oprah Winfrey,3.944322572,Female,MEDIA PERSONALITY,124894.5586,North America,33.058056,Oprah Winfrey
ARTS,US,-87.684722,1049547,1954,IL,ACTOR,430546,35,Chicago,111295.9714,3895359,UNITED STATES,22.96602691,USA,2845812,Jim Belushi,6.799774285,Male,FILM AND THEATRE,15307.4177,North America,41.836944,Jim Belushi
INSTITUTIONS,US,-86.813,7398512,1954,AL,POLITICIAN,158177,65,Birmingham,158387.6615,10295198,UNITED STATES,22.76769613,USA,2896686,Condoleezza Rice,3.978781922,Female,GOVERNMENT,54565.64296,North America,33.525,Condoleezza Rice
ARTS,US,-83.69,4799471,1954,MI,FILM DIRECTOR,74461,46,Flint,193738.0652,8911951,UNITED STATES,23.70327299,USA,4112480,Michael Moore,5.975686619,Male,FILM AND THEATRE,27965.72142,North America,43.01,Michael Moore
ARTS,US,-83.045833,1628097,1954,MI,GAME DESIGNER,147546,29,Detroit,80880.37931,2345531,UNITED STATES,21.12479055,USA,717434,Sid Meier,4.034953591,Male,DESIGN,7202.514801,North America,42.331389,Sid Meier
ARTS,CA,-82.433333,12182491,1954,,FILM DIRECTOR,15622,70,Kapuskasing,290244.2571,20317098,CANADA,23.43953631,CAN,8134607,James Cameron,5.477145685,Male,FILM AND THEATRE,228978.0013,North America,49.416667,James Cameron (director)
ARTS,US,-74.172574,4724103,1954,NJ,ACTOR,503164,32,Newark,233494.8125,7471834,UNITED STATES,22.35517835,USA,2747731,Ray Liotta,4.151056617,Male,FILM AND THEATRE,29146.33278,North America,40.72422,Ray Liotta
HUMANITIES,US,-74.162826,1083126,1954,NJ,WRITER,42751,28,Paterson,46339.32143,1297501,United States,19.39249107,USA,214375,J. Michael Straczynski,2.387123607,Male,LANGUAGE,3844.743474,North America,40.914746,J. Michael Straczynski
